"Text","Sentiment"
"Mantap ..... 
Indonesia  pasti bisa melawan pendemi wabah Covid-19 
Pemerintah Kucurkan Rp405,1 Triliun untuk Atasi Covid-19 https://ekbis.sindonews.com/read/1574602/33/pemerintah-kucurkan-rp4051-triliun-untuk-atasi-covid-19-1585691144Â â€¦","Positive"
"makin kesini permasalahan pandemi Covid 19 makin kompleks,panic buying yg bikin harga sanitasi kesehatan naik gila gilaan sampe tuntutan buat lockdown, dsini kita jga gbsa nyalahin pemerintah pusat sepenuhnya,pasti banyak yg dipikirin dampak kedepannya klo beneran ada lockdown","Positive"
"Maaf mas, thread ini untuk pembelajaran agar tidak sembarangan menangani Covid-19. Ini bener2 masalah darurat, dan dalam keadaan ini sama seperti indonesia. Pemerintah meliburkan untuk berdiam diri dirumah, belajar atau bekerja dirumah agar virus tidak tersebar lebih jauh. -c","Positive"
"Lucu ya manusia, Kemaren isu tentang PD3 tanda kiamat langsung pada tobat. Terus udah gada isu, langsung berbuat maksiat. Covid-19 masuk Indonesia, panik tapi tetep ngelanggar arahan pemerintah,  Giliran keluarga saudara kerabatnya kena, baru matuhin arahan","Positive"
"lucu lagi pada minta lockdown. padahal pencegahan pun gak harus lockdown kota juga. tolong lihat gambaran besarnya please apa aja dampak dari lockdown sebuah kota. apalagi ibukota. lu mau negara tambah amburadul? ntar udah amburadul yang disalahin j0k0w1 lagi. hadehhh","Positive"
"Luar biasa program pemerintah Republik Indonesia kepada pelanggan subsidi daya 450 VA sebanyak 24 juta pelanggan dan daya 900VA subsidi sebanyak 7 juta pelanggan disc 50% semoga membantu pelanggan tsb dalam menghadapi virus Covid-19... Buat @_pln_id luar biasa pelayanan 24 jamnya","Positive"
"Lu tau bisnis dan situasi ekonomi skrg gimana? Lu tau ga dampak lu nuntut pemerintah utk lockdown kaya apa?
Lu tau krisis ekonomi nanti dampaknya gimana? Kalau belum paham, jgn bacot. Tenang! Jgn overreact. Presiden lu, gubernur lu, mereka semua mikirin nasib lu semua.","Positive"
"Lu ada masalah apa sama Pemerintah Republik Indonesia, saaaattt!!!??? Sebegitu sakit hatinya kah kalah itu? Kalo lu ngerasa lebih hebat, satu hal aja dulu yg simple, jadi GARDA TERDEPAN di masalah covid 19 ini. Urus rumah tangga aja dulu yg bener, jgn jauh2 ke negara!","Positive"
"Loh, angka ini kan karena Menteri Kesehatan & pemerintah kita tangkas dalam menangani COVID-19. Wajar bila angka kasus COVID-19 di Indonesia tidak tinggi  https://twitter.com/ainunnajib/status/1245945075806261249Â â€¦","Positive"
"Loh hahaha Wuhan itu lockdownnya hampir satu bulan setelah virus ini pertama kali nyebar, lho. Ya wajar aja angka positifnya naik. Dan PSBB itu beda ya sama lockdown. PSBB masih ada aktifitas walau sedikit, dan dampak ekonominya gaakan terlalu besar karena masih ada transaksi (1)","Positive"
"Loh hahaha Wuhan itu lockdownnya hampir satu bulan setelah virus ini pertama kali nyebar, lho. Ya wajar aja angka positifnya naik. Dan PSBB itu beda ya sama lockdown. PSBB masih ada aktifitas walau sedikit, dan dampak ekonominya gaakan terlalu besar karena masih ada transaksi (1)","Positive"
"Loe mau ngomong apa jg gw sih tetap percaya pemerintah !!

Pemerintah Siagakan Tim Reaksi Cepat Pandemi COVID-19 yang Berjaga di 135 Pintu Gerbang Masuk ke Indonesia
#DukungJokowiBasmiCoronahttps://www.pikiran-rakyat.com/nasional/pr-01351191/pemerintah-siagakan-tim-reaksi-cepat-pandemi-covid-19-yang-berjaga-di-135-pintu-gerbang-masuk-ke-indonesiaÂ â€¦","Positive"
"LOCKDOWN? cari tau dulu artinya sebelum ngomong, cari tau juga apa dampak +/- nya, pemerintah gak sembarangan menetapkan status itu tweeps. Indonesia gak bicara hari ini sampe 2 minggu kedepan, tapi selamanya. Karna hidup gak sebecanda itu!","Positive"
"Lockdown, opsi terakhir.....
dukung dan bantu pemerintah memerangi Covid-19.... semoga pandemi ini cepat berlalu dan Indonesia bebas Corona.","Positive"
"Lockdown sepertinya akan jadi pilihan terakhir karena dampak negatifnya juga besar untuk negara
Masyarakat awam mungkin seharusnya ikuti dahulu anjuran pemerintah ( self-karantina)
Kalau pribadi sih yakin aja sama pemerintah yang lebih paham persoalan ini

Sehat untuk semuanya","Positive"
"lockdown sama dgn kekacauan dan bahkan kerugian dan korban jiwa bisa lebih besar dari dampak covid 19, toh yg sembuh lebih dari 50%, kalau pun ada korban jiwa sdh waktunya populasi penduduk dikurangi secara ALAMI","Positive"
"Lockdown ngga akan memberikan dampak positif utk COVID-19, tp sgt menguntungkan oposisi utk menyerang pemerintahan Jokowi..  Indonesia ngga perlu lockdown...","Positive"
"Lockdown kewenangan pemerintah pusat,sebelm memutuskan lockdown pemerintah mengkaji lbh dlm dampak aspek ekonomi dan sosial.termasuk biaya hidup rakyat selama lockdown berlangsung apakah anggaran itu siap.pemerintah lbh rinci melihat semua sisi kehidupan rakyat.","Positive"
"Langkah Pemerintah Indonesia menambah rumah sakit rujukan untuk pasien COVID-19 patut diapresiasi #RumahsakitkhususCoronahttp://m.jpnn.com/news/penghuni-apartemen-di-jakarta-tolak-keberadaan-rumah-sakit-covid-19Â â€¦","Positive"
"Lama-lama sepet juga liat dan ngikutin berita covid-19 di Indonesia. Pemerintah udah ngelakuin yang terbaik (*menurutku). Segala kebijakan sudah dibuat, tapi masyarakatnya ngga bisa disiplin.","Positive"
"La kalo nanti lockdown malah menimbulkan dampak yang lebih luas seperti ketidakstabilan di bidang ekonomi dan keamanan sehingga makin banyak korban, yang tanggung jawab pemerintah apa Bapak?","Positive"
"Kurang Nikmat apa coba Negara Ku Indonesia dan Pemerintah nya soal wabah #Covid_19 bantuan kepada yg membutuhkan terutama kebutuhan pokok patut diapresiasi bahkan presiden langsung ke jalan bagi sembako..
Bandingkan saja dgn di USA 
https://dutatv.com/ribuan-mobil-antre-makanan-di-texas/Â â€¦","Positive"
"Kurang adil juga membandingkan penanganan covid-19 Indonesia sama singapura... Mereka adalah ""negara kota"" yang pastinya lebih mudah diatur oleh pemerintah pusatnya... Kita mau tak mau mesti ""desentralisasi"" tapi ada komando dari pusat..","Positive"
"Krn terlalu santuy, dlm keadaan krisis seperti ini org indonesia malah liburan ketempat ramai. Apa ga mikir dgn cara seperti itu, upaya pemerintah mengurangi penyebaran COVID 19 malah percuma. Jangan salahkan pemerinta klo seandainya wabah makin parah.","Positive"
"Kompak dukung pemerintah memutus mata rantai penyebaran virus covid 19. Indonesia pasti bisa!
#TundaMudikCekalCoronahttps://twitter.com/Bangzul__88/status/1247393313788850179Â â€¦","Positive"
"Kok the best sekali Indonesia 
Astaga. Padahal SOP dari pemerintah itu udh jelas donk buat menahan penyebaran covid-19.
Eh yang disuruh libur, work from home. Malah liburan gilak sih","Positive"
"Knp sih masyarakat Indonesia itu ngeyel bgt kalo dikasih tau. Ngerti ga sih yg namanya ""dirumah aj"" ? Anda tuh disuruh stay dirumah ama pemerintah, bukan dikasih libur/cuti. Knp harus dirumah? Knp ga boleh keluar? Karena covid-19 sedang menyerang Indonesia.","Positive"
"Knek opo wong indonesia gak iso manut kro pemerintah? Dikon ng omah yo jek nglayap ae. Tolong lah tinggalen disek egoismu musuhi pemerintah. Demi adewe cek gk knek virus gblk! 
#CoronaVirusUpdates
#Covid_19
#CoronaIndonesia","Positive"
"klo jenazah COVID-19 diterlantarkan spt di Equador.... akan lebih parah lho... Masyarakat mestinya SADAR... pemerintah sdh menangani jenazah COVID-19 sesuai STANDAR/ Protocol yg berlaku #AyoRasionalMenghadapiPandemikCovid19 @ganjarpranowo @BNPB_Indonesia @jokowi @KemenkesRIpic.twitter.com/iGgAjruDpz","Positive"
"Keren ya masyarakat Indonesia. Pemerintah lagi pusing mikirin #Covid_19 mungkin juga ada yang belum tidur atau harus korbanin keluarganya karna mau menyelesaikan masalah. Malah dibilang tidak berperan. Semangat pak @jokowi serta para mentri. @KemenkesRI
#COVID19indonesia","Positive"
"Kepada semua rakyat Indonesia sentiasa patuh dengan arahan yg diberikan pemerintah jaga kesihatan diri, keluarga, tertangga. Kalian bisa juga basmi covid-19.","Positive"
"Kenapa sihhh pada asal jeplak aja minta lockdown. Woy cek rupiah ituuuu ga nangis apa lo pada belom lockdown aja udah 16 rebu. Kalo lo pada social distancenya tertib insyaallah aman kok. Bayangin abis ini dampak ke ekonomi negara gimana. Nangis gue kalo jadi jokowi","Positive"
"Kenapa sih lockdown harus nunggu pemerintah? Bukankah kita punya otak dipake untuk mikir ... kesehatan dana keselamatan nomor utama. Trus kalo pemerintah nyuruh situ bunuh diri ikut juga gak? masalah uang kita juga kena dampak, ini virus bukan kaya kentut, ini bener2 bisa mati.","Positive"
"Kenapa sih emosi gitu? Jangan lebay, pemerintah khan perlu memikirkan mekanisme lockdown itu sendiri, supaya jangan ada dampak sosialnya. Ingat, dampak sosial dari lockdown lebih parah daripada dampak virus itu sendiri. Situ jangan merasa yang paling peduli sendiri.","Positive"
"Kenapa pada sotoy bgt sama lockdown indonesia, dampak ke masyarakatnya jg akan besar padahal.","Positive"
"kenapa Indonesia tidak lockdown? pasti pemimpin negri ini sudah berpikir secara matang akan segala aspek dan lihat dampak negara2 tetangga yg menerapkan lockdown..sudah bisa kebayang hancurnya kalo lockdown","Positive"
"Kementerian kesehatan RI memprediksi korban jiwa akibat virus Corona atau Covid-19 ada kemungkinan besar akan bertambah banyak jika masyarakat Indonesia tetap egois dan tidak patuh pada anjuran pemerintah untuk tidak melakukan kegiatan apapun di luar rumah dan tetap di dalam ruma","Positive"
"Kematian buat seseorg saat ini seolah hny krn Covid-19.
Hmm.
Ente berharap lockdown, dan memandang dari satu sisi.
Ente juga menuding pemerintah memberi data bohong tentang covid-19 di indonesia.

Dlm negara, ada Intelijen yg menimbang sgala issue global yg mungkin terjadi.","Positive"
"Kemarin2 pada becanda soal covid-19. Skarang nyalah2in pemerintah. Memang sejatinya indonesia hanya nunggu binasa.","Positive"
"Kemarin kalian perotes ke Presiden @jokowi @aniesbaswedan agar lockdown ..sekarang ada dampak dari lockdown kalian juga nyalahin orang... Mau nya apasih Semua juga ada resikonya, ya terima,","Positive"
"Kecepatan sebaran informasi Kebijakan pemerintah, anjuran, larangan, tentang #COVIDãƒ¼19  di Indonesia sangat membantu, apalagi Covid 19 sangat cepat sebarannya,namun sebaran hoax tentang Covid 19 juga tak kalah cepat menyebar, dan sangat mengkhawatirkan
#stophoaxcoronapic.twitter.com/BjcSemkR3P","Positive"
"kebijakan2 yg dilakukan pemerintah sampai saat ini sangatlah positif, mulai dari menangani wabah covid-19 dan disisi lain selalu berusaha membangun kembali ekonomi dengan adanya Omnibus Law yg diyakini dapat meningkatkan perekonomian Indonesia.","Positive"
"Kebijakan: Social Distancing, tapi hasil yg diharapkan mirip dgn Lock Down. Ini cara bijak agar tujuan memutus penyebaran Virus,  dgn minim dampak","Positive"
"Kebijakan pemerintah pusat dalam penanggulangan COVID-19 melalui PSBB sangat tepat dan berdampak positif bagi perekonomian Indonesia. 

Rupiah Perkasa, Libas Dolar AS, Hingga Mata Uang Asia & Eropa http://detik.id/6N0QiEÂ ","Positive"
"Kebijakan Pembatasan Sosial Berskala Besar (PSBB) menjadi pilihan paling rasional di tengah pandemi COVID-19 yang melanda Indonesia. Ada dua pertimbangan utama dalam menerapkan PSBB, yang dituangkan dalam Peraturan Pemerintah Republik Indonesia Nomor 21 Tahun 2020.","Positive"
"Kebijakan pembatasan sosial berskala besar (PSBB) menjadi pilihan paling rasional di tengah pandemi covid-19 yang melanda Indonesia. Ada dua pertimbangan utama dalam menerapkan PSBB, yang dituangkan dalam Peraturan Pemerintah Republik Indonesia Nomor 21 Tahun 2020.","Positive"
"Kdg bingung juga sama warga Indonesia yg nyalahin pemerintah terus, dimana2 berpikir maju ini kok mundur. Fokus terus ke masalah, kenapa gak mau kerjasama lawan ni covid-19 perbanyak berdoa, kurang2in nyalahin dan menghakimi, ikutin SOP kesehatan yg benar tanpa pemerintahpun bisa","Positive"
"Kayaknya itu yg lagi dirasakan presiden RI yg mulai diserang sana sini dan WHO. Sumpah, membayangkan dampak lockdown aja aku udah mumet. Masa, ya RI harus cari utangan lagi sih? Bakalan Ribot lagi ini. Belum lagi sekarang jalur distribusi barang export-import macet (lockdown).","Positive"
"Kasian. Mbok tulung masyarakat indonesia jangan berkeliaran demi mereka mereka yang berjuang demi kesembuhan pasien covid-19. Ayo sama sama tertib aturan pemerintah untuk di rumah aja","Positive"
"Kasian pemerintah. Memilih meliburkan sekolah/PNS/Pekerja Swasta, tapi di beberapa daerah memanfaatkanya dengn bepergian, tau gak apa yg dikorbanin pemerintah?! Perekonomian Indonesia cuy!! Percuma kalau kaya gini. Edukasi mengenai covid 19 di beberapa daerah sangatlah minim :(","Positive"
"kapan indonesia bisa bebas dari covid-19 klo rakyatnya masi mementingkan EGO diatas segalanya? kalaupun pemerintah ada salah setidaknya diingatkan dengan cara yg baik bukannya menghina dan malah memecah belah, memang bukan pemberontak tp pemecah belah. uda tua mikir apa tolol.","Positive"
"KAN UDAH GW BILANG NGURUS NEGARA GAK KAYAK NGURUS HARVEST MOON BAMBANG

Lu pikir dampak ekonomi gak lebih ngeri kalau negara gegabah ambil tindakan? America negara kuat gitu aja masih nahan2, lu berharap Jokowi ini snap macam Thanos gitu buat lockdown semua?? PEA","Positive"
"Kamu pun harus paham, Wina. Cuitanmu itu cuitan yang tidak perlu dan cenderung menyudutkan Pemerintah yang sedang dan terus bekerja keras menangani pandemi COVID-19 di Indonesia. Lebih bijaklah dalam bersikap di media sosial, Wina...  Cc: @BNPB_Indonesia @KemenkesRI @kemkominfo","Positive"
"Kami yakin Fadli Zon tahu bahwa keputusan dibuka dan tdknya Jama'ah Haji tahun ini tergantung Pemerintah Arab Saudi.
Pertanyaan nya ; Apakah pantas saat ini mempertanyakan hal itu?
Sedangkan Pemerintah Indonesia,juga Dunia sedang fokus menangani Covid-19.","Positive"
"Kami putra dan putri hobi rebahan Indonesia siap membantu program pemerintah 14hari #dirumahaja dalam rangka memutuskan rantai penularan covid-19 supaya tercipta kondisi yang sehat aman tentram dan bahagia. 
#Salamrebahan","Positive"
"kalo udh begini aja playing victim, kemaren2 nantangin lockdown sambil ngatain pemerintah pusat ga berani lockdown karena banyak utang, dikasih PSBB udah treak kenceng banget kyk yg paling sengsara.. musim korona begini semua kena dampak boss, bukan ente doank.","Positive"
